highest Corsi Span,Number of Items,Binary Result,Sequence Number,Trial
2,2,1,283,2
3,3,1,218,2
3,4,0,391,2
4,4,1,422,2
5,5,1,109,2
5,6,0,120,2
5,6,0,345,2
